index,key,scenario,algorithm,experiment,file,ext
908,overtaking_PURE_SFM_experiment_1,overtaking,PURE_SFM,1,overtaking/PURE_SFM/experiment_1.mp4,mp4
909,overtaking_PURE_SFM_experiment_2,overtaking,PURE_SFM,2,overtaking/PURE_SFM/experiment_2.mp4,mp4
910,overtaking_PURE_SFM_experiment_3,overtaking,PURE_SFM,3,overtaking/PURE_SFM/experiment_3.mp4,mp4
911,overtaking_PURE_SFM_experiment_4,overtaking,PURE_SFM,4,overtaking/PURE_SFM/experiment_4.mp4,mp4
912,overtaking_PURE_SFM_experiment_5,overtaking,PURE_SFM,5,overtaking/PURE_SFM/experiment_5.mp4,mp4
913,crossing1_DWA_experiment_1,crossing1,DWA,1,crossing1/DWA/experiment_1.mp4,mp4
914,crossing1_DWA_experiment_2,crossing1,DWA,2,crossing1/DWA/experiment_2.mp4,mp4
915,crossing1_DWA_experiment_3,crossing1,DWA,3,crossing1/DWA/experiment_3.mp4,mp4
916,crossing1_DWA_experiment_4,crossing1,DWA,4,crossing1/DWA/experiment_4.mp4,mp4
917,crossing1_DWA_experiment_5,crossing1,DWA,5,crossing1/DWA/experiment_5.mp4,mp4
918,crossing1_DWAsocialcostmap_experiment_1,crossing1,DWAsocialcostmap,1,crossing1/DWAsocialcostmap/experiment_1.mp4,mp4
919,crossing1_DWAsocialcostmap_experiment_2,crossing1,DWAsocialcostmap,2,crossing1/DWAsocialcostmap/experiment_2.mp4,mp4
920,crossing1_DWAsocialcostmap_experiment_3,crossing1,DWAsocialcostmap,3,crossing1/DWAsocialcostmap/experiment_3.mp4,mp4
921,crossing1_DWAsocialcostmap_experiment_4,crossing1,DWAsocialcostmap,4,crossing1/DWAsocialcostmap/experiment_4.mp4,mp4
922,crossing1_DWAsocialcostmap_experiment_5,crossing1,DWAsocialcostmap,5,crossing1/DWAsocialcostmap/experiment_5.mp4,mp4
923,crossing1_SFM_experiment_1,crossing1,SFM,1,crossing1/SFM/experiment_1.mp4,mp4
924,crossing1_SFM_experiment_2,crossing1,SFM,2,crossing1/SFM/experiment_2.mp4,mp4
925,crossing1_SFM_experiment_3,crossing1,SFM,3,crossing1/SFM/experiment_3.mp4,mp4
926,crossing1_SFM_experiment_4,crossing1,SFM,4,crossing1/SFM/experiment_4.mp4,mp4
927,crossing1_SFM_experiment_5,crossing1,SFM,5,crossing1/SFM/experiment_5.mp4,mp4
928,crossing1_MPPI_experiment_2,crossing1,MPPI,2,crossing1/MPPI/experiment_2.mp4,mp4
929,crossing1_MPPI_experiment_3,crossing1,MPPI,3,crossing1/MPPI/experiment_3.mp4,mp4
930,crossing1_MPPI_experiment_4,crossing1,MPPI,4,crossing1/MPPI/experiment_4.mp4,mp4
931,crossing1_MPPI_experiment_5,crossing1,MPPI,5,crossing1/MPPI/experiment_5.mp4,mp4
932,crossing1_MPPIsocialcostmap_experiment_1,crossing1,MPPIsocialcostmap,1,crossing1/MPPIsocialcostmap/experiment_1.mp4,mp4
933,crossing1_MPPIsocialcostmap_experiment_2,crossing1,MPPIsocialcostmap,2,crossing1/MPPIsocialcostmap/experiment_2.mp4,mp4
934,crossing1_MPPIsocialcostmap_experiment_3,crossing1,MPPIsocialcostmap,3,crossing1/MPPIsocialcostmap/experiment_3.mp4,mp4
935,crossing1_MPPIsocialcostmap_experiment_4,crossing1,MPPIsocialcostmap,4,crossing1/MPPIsocialcostmap/experiment_4.mp4,mp4
936,crossing1_MPPIsocialcostmap_experiment_5,crossing1,MPPIsocialcostmap,5,crossing1/MPPIsocialcostmap/experiment_5.mp4,mp4
937,crossing1_socialMPPI_experiment_1,crossing1,socialMPPI,1,crossing1/socialMPPI/experiment_1.mp4,mp4
938,crossing1_socialMPPI_experiment_2,crossing1,socialMPPI,2,crossing1/socialMPPI/experiment_2.mp4,mp4
939,crossing1_socialMPPI_experiment_3,crossing1,socialMPPI,3,crossing1/socialMPPI/experiment_3.mp4,mp4
940,crossing1_socialMPPI_experiment_4,crossing1,socialMPPI,4,crossing1/socialMPPI/experiment_4.mp4,mp4
941,crossing1_socialMPPI_experiment_5,crossing1,socialMPPI,5,crossing1/socialMPPI/experiment_5.mp4,mp4
942,crossing1_ORCA_experiment_1,crossing1,ORCA,1,crossing1/ORCA/experiment_1.mp4,mp4
943,crossing1_ORCA_experiment_2,crossing1,ORCA,2,crossing1/ORCA/experiment_2.mp4,mp4
944,crossing1_ORCA_experiment_3,crossing1,ORCA,3,crossing1/ORCA/experiment_3.mp4,mp4
945,crossing1_ORCA_experiment_5,crossing1,ORCA,5,crossing1/ORCA/experiment_5.mp4,mp4
